cmp_id,year,eu_position,lrgen,lrecon,galtan,people_vs_elite,antielite_salience,corrupt_salience
32530,2014,6.142857074737549,5.285714149475098,5.285714149475098,7.857142925262451,NA,1.5,5.25
32460,2014,6.857142925262451,5.428571224212646,7.571428775787354,5.428571224212646,NA,1,7
32906,2014,5.333333492279053,4.833333492279053,4.5,6,NA,4,5
32440,2014,6.571428775787354,3.571428537368774,4.571428775787354,2.428571462631226,NA,4.4000001,7
32061,2014,3.428571462631226,6.714285850524902,7,7.285714149475098,NA,4,3.2
32720,2014,1.142857193946838,8.857142448425293,7.285714149475098,9.142857551574709,NA,8.8000002,6.4000001
32630,2014,2.166666746139526,7.857142925262451,5.571428775787354,9.285714149475098,NA,6.25,5.8000002
32230,2014,3.142857074737549,1.285714268684387,0.7142857313156128,0.2857142984867096,NA,6.8000002,7.1999998
32956,2014,1.428571462631226,4.666666507720947,3.428571462631226,2.571428537368774,NA,10,9.8000002
32450,2014,5.800000190734863,5,5,6.285714149475098,NA,3.3333333,6.5
32904,2014,5.666666507720947,5,5.400000095367432,7.25,NA,5,4.5
32212,2014,2,0.2857142984867096,0.1428571492433548,1,NA,9.333333,8.75
NA,2014,5.714285850524902,6.142857074737549,6,8,NA,2.2,5
NA,2019,6.75,4.3125,6.599999904632568,0.4117647111415863,3.3571429,2.2,5.6153846
32956,2019,3.473684310913086,4.777777671813965,3.21052622795105,3.736842155456543,9.5294113,8.8888893,9.333333
32230,2019,5.266666889190674,1.444444417953491,1,0.6875,2.6666667,3.7857144,6.5
32630,2019,1.947368383407593,9.052631378173828,6.388888835906982,9.421052932739258,6.625,8,5.5
32440,2019,6.789473533630371,3.21052622795105,3.578947305679321,2.263157844543457,2.0625,1.8823529,5.3333335
32720,2019,1.684210538864136,8.789473533630371,7.684210300445557,9.210526466369627,6.9375,8.333333,3.375
32904,2019,5.900000095367432,5.166666507720947,5.125,6.666666507720947,1.4,2.1666667,4.5999999
32061,2019,4.894736766815186,6.947368621826172,7.842105388641357,6.842105388641357,4.0666666,4.1764708,2.4666667
